,Height above sea level,Lines,Bakerloo,,Central,,District,,Hammersmith & City,,Jubilee,,Metropolitan,,Northern,,Piccadilly,,Victoria,,Circle,,Waterloo & City,,Elizabeth Line,
Station Name,Ground Level outside Station,,Northbound,Southbound,Eastbound,Westbound,Eastbound,Westbound,Eastbound,Westbound,Eastbound,Westbound,Eastbound,Westbound,Northbound,Southbound,Eastbound,Westbound,Northbound,Southbound,Eastbound,Westbound,Northbound,Southbound,Eastbound,Westbound
Marble Arch ,27,CEN, , ,101.4,101.4, , , , , , , , , , , , , , ,,, , ,,
Marylebone ,29,BAK,106.4,106.4, , , , , , , , , , , , , , , , ,,, , ,,
Mile End ,12,DIS;H&C;CEN, , ,104.8,104.9,104.7,104.7,104.7,104.7, , , , , , , , , , ,,, , ,,
Mill Hill East ,65,NOR, , , , , , , , , , , , ,170.8,170.8, , , , ,,, , ,,
Monument ,14.3,DIS;CIR, , , , ,106.2,106.2, , , , , , , , , , , , ,106.2,106.2, , ,,
Moor Park ,57,MET, , , , , , , , , , ,161.5,161.5, , , , , , ,,, , ,,
Moorgate ,14,MET;H&C;CIR;NOR, , , , , , ,108.5,108.5, , ,108.5,108.5,88.7,88.8, , , , ,108.5,108.5, , ,,
Morden ,18,NOR, , , , , , , , , , , , ,113.6,113.6, , , , ,,, , ,,
Mornington Crescent ,24,NOR, , , , , , , , , , , , ,108.7,108.7, , , , ,,, , ,,
Neasden ,38,JUB, , , , , , , , ,132.2,132.2, , , , , , , , ,,, , ,,
New Cross ,11,, , , , , , , , , , , , , , , , , , ,,, , ,,
New Cross Gate ,13,, , , , , , , , , , , , , , , , , , ,,, , ,,
Newbury Park ,19,CEN, , ,117,117, , , , , , , , , , , , , , ,,, , ,,
Nine Elms,3,NOR,,,,,,,,,,,,,83.8,83.8,,,,,,,,,,
North Acton ,33,CEN, , ,124.4,124.4, , , , , , , , , , , , , , ,,, , ,,
North Ealing ,36,PIC, , , , , , , , , , , , , , ,132.5,132.5, , ,,, , ,,
North Greenwich ,2,JUB, , , , , , , , ,86.5,86.5, , , , , , , , ,,, , ,,
North Harrow ,51,MET, , , , , , , , , , ,157,157, , , , , , ,,, , ,,
North Wembley ,48,BAK, , , , , , , , , , , , , , ,142,142, , ,,, , ,,
Northfields ,24,PIC, , , , , , , , , , , , , , ,119.3,119.3, , ,,, , ,,
Northolt ,43,CEN, , ,137.8,137.8, , , , , , , , , , , , , , ,,, , ,,
Northwick Park ,56,MET, , , , , , , , , , ,157.9,157.9, , , , , , ,,, , ,,
Northwood ,77,MET, , , , , , , , , , ,171.6,171.6, , , , , , ,,, , ,,
Northwood Hills ,71,MET, , , , , , , , , , ,165,165, , , , , , ,,, , ,,
Notting Hill Gate ,28,CEN;DIS;H&C, , ,97.1,102.6,119.4,119.4, , , , , , , , , , , , ,119.4,119.4, , ,,
Oakwood ,88,PIC, , , , , , , , , , , , , , ,181.8,181.8, , ,,, , ,,
Old Street ,17,NOR, , , , , , , , , , , , ,92,92, , , , ,,, , ,,
Osterley ,30,PIC, , , , , , , , , , , , , , ,124.2,124.2, , ,,, , ,,
Oval ,4,NOR, , , , , , , , , , , , ,89.9,86.7, , , , ,,, , ,,
Oxford Circus ,27,CEN;VIC;BAK,104.7,104.7,100.6,100.6, , , , , , , , , , , , ,104.1,104.1,,, , ,,
Paddington ,25,H&C;CIR;DIS;BAK;EL,109.3,109.3, , ,118.8,118.8,122.4,122.4, , , , , , , , , , ,118.8,118.8, , ,80,80
Park Royal ,47,PIC, , , , , , , , , , , , , , ,142.2,142.2, , ,,, , ,,
Parsons Green ,3,DIS, , , , ,108,108, , , , , , , , , , , , ,,, , ,,
Perivale ,20,CEN, , ,126.6,126.6, , , , , , , , , , , , , , ,,, , ,,
Piccadilly Circus ,19,PIC;BAK,93.8,93.8, , , , , , , , , , , , ,86.8,86.8, , ,,, , ,,
Pimlico ,5,VIC, , , , , , , , , , , , , , , , ,83.9,83.9,,, , ,,
Pinner ,54,MET, , , , , , , , , , ,153.5,153.5, , , , , , ,,, , ,,
Plaistow ,9,DIS;H&C, , , , ,102.4,102.4,102.4,102.4, , , , , , , , , , ,,, , ,,
Preston Road ,45,MET, , , , , , , , , , ,141.1,141.1, , , , , , ,,, , ,,
Putney Bridge ,4,DIS, , , , ,111,111, , , , , , , , , , , , ,,, , ,,
Queens Park ,38,BAK, , , , , , , , , , , , , , ,132.4,132.4, , ,,, , ,,
Queensbury ,48,JUB, , , , , , , , ,151.2,151.2, , , , , , , , ,,, , ,,
Queensway ,27,CEN, , ,103.1,103.1, , , , , , , , , , , , , , ,,, , ,,
Ravenscourt Park ,5,DIS, , , , ,111,111, , , , , , , , , , , , ,,, , ,,
Rayners Lane ,55,MET;PIC, , , , , , , , , , ,148.8,148.8, , ,148.8,148.8, , ,,, , ,,
Redbridge ,12,CEN, , ,106.7,106.9, , , , , , , , , , , , , , ,,, , ,,
Regent's Park ,28,BAK,104.2,102.2, , , , , , , , , , , , , , , , ,,, , ,,
Richmond ,8,DIS, , , , ,107,107, , , , , , , , , , , , ,,, , ,,
Rickmansworth ,58,MET, , , , , , , , , , ,157.6,157.6, , , , , , ,,, , ,,
Roding Valley ,31,CEN, , ,131.2,131.2, , , , , , , , , , , , , , ,,, , ,,
Rotherhithe ,2,, , , , , , , , , , , , , , , , , , ,,, , ,,
Royal Oak ,27,H&C;CIR, , , , , , ,121,121, , , , , , , , , , ,121,121, , ,,
Ruislip ,46,MET;PIC, , , , , , , , , , ,145.6,145.6, , ,145.6,145.6, , ,,, , ,,
Ruislip Gardens ,37,CEN, , ,141.5,141.5, , , , , , , , , , , , , , ,,, , ,,
Ruislip Manor ,44,MET;PIC, , , , , , , , , , ,149.6,149.6, , ,149.6,149.6, , ,,, , ,,
Russell Square ,23,PIC, , , , , , , , , , , , , , ,89.8,89.8, , ,,, , ,,
Seven Sisters ,11,VIC, , , , , , , , , , , , , , , , ,93,93,,, , ,,
Shadwell ,11,, , , , , , , , , , , , , , , , , , ,,, , ,,
Shepherd's Bush  (Central),6,CEN, , ,89.8,89.8, , , , , , , , , , , , , , ,,, , ,,
Shepherd's Bush Market (Hammersmith & City),6,H&C;CIR, , , , , , ,111.9,111.9, , , , , , , , , , ,111.9,111.9, , ,,
Shoreditch ,13,, , , , , , , , , , , , , , , , , , ,,, , ,,
Sloane Square ,6,DIS;CIR, , , , ,97.6,97.6, , , , , , , , , , , , ,97.6,97.6, , ,,
Snaresbrook ,22,CEN, , ,127.4,127.4, , , , , , , , , , , , , , ,,, , ,,
South Ealing ,24,PIC, , , , , , , , , , , , , , ,120.3,120.3, , ,,, , ,,
South Harrow ,61,PIC, , , , , , , , , , , , , , ,166.8,166.8, , ,,, , ,,
South Kensington ,7,DIS;CIR;PIC, , , , ,100,100, , , , , , , , ,89.1,83.5, , ,100,100, , ,,
South Kenton ,43,BAK, , , , , , , , , , , , , , ,146.4,146.4, , ,,, , ,,
South Ruislip ,37,CEN, , ,141.4,141.4, , , , , , , , , , , , , , ,,, , ,,
South Wimbledon ,14,NOR, , , , , , , , , , , , ,101.3,101.3, , , , ,,, , ,,
South Woodford ,28,CEN, , ,128.8,128.8, , , , , , , , , , , , , , ,,, , ,,
Southfields ,23,DIS, , , , ,117,117, , , , , , , , , , , , ,,, , ,,
Southgate ,71,PIC, , , , , , , , , , , , , , ,160.2,160.2, , ,,, , ,,
Southwark ,4,JUB, , , , , , , , ,79.5,79.5, , , , , , , , ,,, , ,,
St James's Park ,4,DIS;CIR, , , , ,98.2,98.2, , , , , , , , , , , , ,98.2,98.2, , ,,
St John's Wood ,49,JUB, , , , , , , , ,131.7,131.2, , , , , , , , ,,, , ,,
St Pauls' ,17,CEN, , ,89.9,95.3, , , , , , , , , , , , , , ,,, , ,,
Stamford Brook ,5,DIS, , , , ,111.4,111.4, , , , , , , , , , , , ,,, , ,,
Stanmore ,85,JUB, , , , , , , , ,176.8,176.8, , , , , , , , ,,, , ,,
Stepney Green ,10,DIS;H&C, , , , ,102.8,102.8,102.8,102.8, , , , , , , , , , ,,, , ,,
Stockwell ,6,NOR;VIC, , , , , , , , , , , , ,92.2,92.4, , ,92.2,92.4,,, , ,,
Stonebridge Park ,24,BAK, , , , , , , , , , , , , , ,131.5,131.5, , ,,, , ,,
Stratford ,4,CEN;JUB;EL, , ,107.2,107.2, , , , ,104,104, , , , , , , , ,,, , ,,
Sudbury Hill ,60,PIC, , , , , , , , , , , , , , ,154.2,154.2, , ,,, , ,,
Sudbury Town ,48,PIC, , , , , , , , , , , , , , ,147.6,147.6, , ,,, , ,,
Surrey Quays ,2,, , , , , , , , , , , , , , , , , , ,,, , ,,
Swiss Cottage ,57,JUB, , , , , , , , ,140.1,140.1, , , , , , , , ,,, , ,,
Temple ,5,DIS;CIR, , , , ,99.2,99.2, , , , , , , , , , , , ,99.2,99.2, , ,,
Theydon Bois ,54,CEN, , ,153.1,153.1, , , , , , , , , , , , , , ,,, , ,,
Tooting Bec ,28,NOR, , , , , , , , , , , , ,111.6,111.6, , , , ,,, , ,,
Tooting Broadway ,16,NOR, , , , , , , , , , , , ,103.2,103.2, , , , ,,, , ,,
Tottenham Court Road ,25,NOR;CEN;EL, , ,100.2,100.2, , , , , , , , ,94.3,94.3, , , , ,,, , ,76,76
Tottenham Hale ,11,VIC, , , , , , , , , , , , , , , , ,91.8,91.7,,, , ,,
Totteridge ,75,NOR, , , , , , , , , , , , ,173.8,173.8, , , , ,,, , ,,
Tower Hill ,14,DIS;CIR, , , , ,106.9,107, , , , , , , , , , , , ,106.9,107, , ,,
Tufnell Park ,44,NOR, , , , , , , , , , , , ,125,121.6, , , , ,,, , ,,
Turnham Green ,5,DIS, , , , ,110.9,110.9, , , , , , , , , , , , ,,, , ,,
Turnpike Lane ,21,PIC, , , , , , , , , , , , , , ,106.3,106.3, , ,,, , ,,
Upminster ,28,DIS, , , , ,119.2,119.2, , , , , , , , , , , , ,,, , ,,
Upminster Bridge ,15,DIS, , , , ,119.3,119.3, , , , , , , , , , , , ,,, , ,,
Upney ,12,DIS, , , , ,106.3,106.3, , , , , , , , , , , , ,,, , ,,
Upton Park ,11,DIS, , , , ,105.3,105.3, , , , , , , , , , , , ,,, , ,,
Uxbridge ,40,MET;PIC, , , , , , , , , , ,140.1,140.1, , ,140.1,140.1, , ,,, , ,,
